Post code;Gemeente naam;Provincie naam
7300;Boussu;Henegouwen
1105;Brussel;Brussel
1050;Elsene;Brussel
2320;Hoogstraten;Antwerpen
2321;Meer;Antwerpen
2531;Vremde;Antwerpen
1700;Dilbeek;Vlaams-Brabant
9860;Scheldewindeke;Oost-Vlaanderen
6630;Martelange;Luxembourg
6781;Sélange;Luxembourg
6813;Termes;Luxembourg
9790;Wortegem;Oost-Vlaanderen
9570;Deftinge;Oost-Vlaanderen
4458;Fexhe-Slins;Liège
4031;Angleur;Liège
4650;Julémont;Liège
4560;Clavier;Liège
4770;Amel;Liège
6110;Montignies-le-Tilleul;Henegouwen
7034;Obourg;Henegouwen
6532;Ragnies;Henegouwen
6530;Thuin;Henegouwen
7604;Wasmes-Audemez-Briffoeil;Henegouwen
7500;Tournai;Henegouwen
7333;Tertre;Henegouwen
7803;Ath;Henegouwen
6594;Beauwelz;Henegouwen
7910;Cordes;Henegouwen
6120;Ham-sur-Heure;Henegouwen
7506;Willemeau;Henegouwen
7783;Ploegsteert;Henegouwen
1200;Sint-Lambrechts-Woluwe;Brussel
1049;Evere;Brussel
1370;Jodoigne;Brabant wallon (le)
2590;Berlaar;Antwerpen
2431;Veerle;Antwerpen
2801;Heffen;Antwerpen
5560;Mesnil-Église;Namur
5363;Emptinne;Namur
5600;Sautour;Namur
5641;Furnaux;Namur
5501;Lisogne;Namur
5651;Gourdinne;Namur
5030;Gembloux;Namur
5150;Floreffe;Namur
3660;Opglabbeek;Limburg
8610;Handzame;West-Vlaanderen
8755;Ruiselede;West-Vlaanderen
6660;Houffalize;Luxembourg
6920;Wellin;Luxembourg
1820;Steenokkerzeel;Vlaams-Brabant
1502;Lembeek;Vlaams-Brabant
3370;Vertrijk;Vlaams-Brabant
1852;Beigem;Vlaams-Brabant
6660;Nadrin;Luxembourg
6717;Attert;Luxembourg
6761;Latour;Luxembourg
6950;Nassogne;Luxembourg
6990;Hotton;Luxembourg
3381;Kapellen;Vlaams-Brabant
3052;Blanden;Vlaams-Brabant
1673;Beert;Vlaams-Brabant
3140;Keerbergen;Vlaams-Brabant
5333;Sorinne-la-Longue;Namur
3650;Dilsen;Limburg
3665;As;Limburg
3720;Kortessem;Limburg
3970;Leopoldsburg;Limburg
8650;Klerken;West-Vlaanderen
8750;Wingene;West-Vlaanderen
8770;Ingelmunster;West-Vlaanderen
6640;Nives;Luxembourg
6687;Bertogne;Luxembourg
1570;Tollembeek;Vlaams-Brabant
9032;Wondelgem;Oost-Vlaanderen
9630;Munkzwalm;Oost-Vlaanderen
9130;Kieldrecht;Oost-Vlaanderen
4540;Amay;Liège
4367;Crisnée;Liège
4834;Goé;Liège
4602;Cheratte;Liège
4020;Jupille-sur-Meuse;Liège
4300;Waremme;Liège
4608;Neufchâteau;Liège
7712;Herseaux;Henegouwen
6032;Mont-sur-Marchienne;Henegouwen
1081;Koekelberg;Brussel
1050;Sint-Gillis;Brussel
2330;Merksplas;Antwerpen
2500;Lier;Antwerpen
5351;Haillot;Namur
5540;Hastière-par-delà;Namur
5550;Sugny;Namur
3582;Koersel;Limburg
3850;Nieuwerkerken;Limburg
8480;Eernegem;West-Vlaanderen
8570;Anzegem;West-Vlaanderen
8830;Hooglede;West-Vlaanderen
8978;Watou;West-Vlaanderen
3300;Tienen;Vlaams-Brabant
3401;Walshoutem;Vlaams-Brabant
3210;Lubbeek;Vlaams-Brabant
1501;Buizingen;Vlaams-Brabant
1950;Kraainem;Vlaams-Brabant
9771;Nokere;Oost-Vlaanderen
9190;Stekene;Oost-Vlaanderen
9051;Sint-Denijs-Westrem;Oost-Vlaanderen
9700;Oudenaarde;Oost-Vlaanderen
9770;Kruishoutem;Oost-Vlaanderen
4181;Filot;Liège
4342;Hognoul;Liège
4161;Villers-aux-Tours;Liège
4650;Grand-Rechain;Liège
4257;Corswarem;Liège
6210;Frasnes-lez-Gosselies;Henegouwen
7802;Ormeignies;Henegouwen
6200;Bouffioulx;Henegouwen
7021;Havré;Henegouwen
1060;Sint-Gillis;Brussel
1300;Limal;Brabant wallon (le)
2170;Merksem;Antwerpen
2630;Aartselaar;Antwerpen
1033;Schaarbeek;Brussel
1006;Brussel;Brussel
1043;Schaarbeek;Brussel
7000;Mons;Henegouwen
9921;Vinderhoute;Oost-Vlaanderen
9931;Oostwinkel;Oost-Vlaanderen
4170;Comblain-au-Pont;Liège
4400;Chokier;Liège
4122;Plainevaux;Liège
4121;Neuville-en-Condroz;Liège
4099;Awans;Liège
4631;Évegnée-Tignée;Liège
4890;Clermont;Liège
4470;Saint-Georges-sur-Meuse;Liège
7542;Mont-Saint-Aubert;Henegouwen
7331;Baudour;Henegouwen
7600;Péruwelz;Henegouwen
6111;Landelies;Henegouwen
6040;Jumet;Henegouwen
7520;Templeuve;Henegouwen
1341;Céroux-Mousty;Brabant wallon (le)
1350;Jauche;Brabant wallon (le)
2242;Pulderbos;Antwerpen
2850;Boom;Antwerpen
2491;Olmen;Antwerpen
2480;Dessel;Antwerpen
5310;Éghezée;Namur
5670;Olloy-sur-Viroin;Namur
3792;Sint-Pieters-Voeren;Limburg
8620;Ramskapelle;West-Vlaanderen
8951;Dranouter;West-Vlaanderen
6670;Limerlé;Luxembourg
6721;Anlier;Luxembourg
6767;Harnoncourt;Luxembourg
1934;Diegem;Vlaams-Brabant
3018;Wilsele;Vlaams-Brabant
3201;Langdorp;Vlaams-Brabant
3360;Bierbeek;Vlaams-Brabant
3080;Tervuren;Vlaams-Brabant
3380;Glabbeek-Zuurbemde;Vlaams-Brabant
1651;Lot;Vlaams-Brabant
3470;Kortenaken;Vlaams-Brabant
9404;Aspelare;Oost-Vlaanderen
9840;Zevergem;Oost-Vlaanderen
9506;Grimminge;Oost-Vlaanderen
9160;Lokeren;Oost-Vlaanderen
9900;Eeklo;Oost-Vlaanderen
4420;Saint-Nicolas;Liège
6150;Anderlues;Henegouwen
7610;Rumes;Henegouwen
7522;Hertain;Henegouwen
7370;Dour;Henegouwen
7602;Bury;Henegouwen
6010;Couillet;Henegouwen
7321;Blaton;Henegouwen
7906;Gallaix;Henegouwen
7608;Wiers;Henegouwen
1315;Incourt;Brabant wallon (le)
1473;Glabais;Brabant wallon (le)
2280;Grobbendonk;Antwerpen
2040;Berendrecht-Zandvliet-Lillo;Antwerpen
4287;Lincent;Liège
4620;Fléron;Liège
4217;Héron;Liège
5372;Méan;Namur
5354;Jallet;Namur
5021;Boninne;Namur
3790;Moelingen;Limburg
3900;Overpelt;Limburg
8433;Slijpe;West-Vlaanderen
8583;Bossuit;West-Vlaanderen
8810;Lichtervelde;West-Vlaanderen
8870;Izegem;West-Vlaanderen
6673;Cherain;Luxembourg
6681;Lavacherie;Luxembourg
6690;Petit-Thier;Luxembourg
6792;Halanzy;Luxembourg
6833;Ucimont;Luxembourg
1770;Liedekerke;Vlaams-Brabant
3473;Waanrode;Vlaams-Brabant
3020;Winksele;Vlaams-Brabant
1981;Hofstade;Vlaams-Brabant
5003;Saint-Marc;Namur
5340;Gesves;Namur
6661;Mont;Luxembourg
6986;Halleux;Luxembourg
3471;Hoeleden;Vlaams-Brabant
3110;Rotselaar;Vlaams-Brabant
9255;Buggenhout;Oost-Vlaanderen
9660;Nederbrakel;Oost-Vlaanderen
9551;Ressegem;Oost-Vlaanderen
4000;Angleur;Liège
4347;Fexhe-le-Haut-Clocher;Liège
4791;Thommen;Liège
4219;Meeffe;Liège
4052;Beaufays;Liège
4633;Melen;Liège
6180;Courcelles;Henegouwen
7060;Horrues;Henegouwen
6030;Goutroux;Henegouwen
6099;Fleurus;Henegouwen
6463;Lompret;Henegouwen
7742;Hérinnes;Henegouwen
6183;Trazegnies;Henegouwen
5353;Goesnes;Namur
3540;Herk-de-Stad;Limburg
3668;Niel-bij-As;Limburg
3890;Borlo;Limburg
8902;Zillebeke;West-Vlaanderen
8958;Loker;West-Vlaanderen
8980;Zonnebeke;West-Vlaanderen
6851;Nollevaux;Luxembourg
6929;Gembes;Luxembourg
7390;Quaregnon;Henegouwen
6220;Fleurus;Henegouwen
7133;Buvrinnes;Henegouwen
1212;Sint-Joost-ten-Node;Brussel
1210;Sint-Joost-ten-Node;Brussel
1083;Ganshoren;Brussel
1190;Vorst;Brussel
1357;Neerheylissem;Brabant wallon (le)
1367;Geest-Gérompont-Petit-Rosière;Brabant wallon (le)
1428;Lillois-Witterzée;Brabant wallon (le)
2540;Hove;Antwerpen
2970;Schilde;Antwerpen
2290;Vorselaar;Antwerpen
3061;Leefdaal;Vlaams-Brabant
1547;Bever;Vlaams-Brabant
9400;Denderwindeke;Oost-Vlaanderen
9960;Assenede;Oost-Vlaanderen
9400;Nederhasselt;Oost-Vlaanderen
4650;Herve;Liège
4840;Welkenraedt;Liège
4537;Verlaine;Liège
7513;Kain;Henegouwen
7850;Hoves;Henegouwen
7971;Wadelincourt;Henegouwen
7501;Orcq;Henegouwen
7160;Chapelle-lez-Herlaimont;Henegouwen
7643;Fontenoy;Henegouwen
7642;Calonne;Henegouwen
7870;Montignies-lez-Lens;Henegouwen
6543;Bienne-lez-Happart;Henegouwen
7387;Autreppe;Henegouwen
1035;Schaarbeek;Brussel
1348;Ottignies;Brabant wallon (le)
1470;Baisy-Thy;Brabant wallon (le)
2930;Brasschaat;Antwerpen
2920;Kalmthout;Antwerpen
2180;Ekeren;Antwerpen
2660;Hoboken;Antwerpen
5560;Ciergnon;Namur
3500;Hasselt;Limburg
3511;Kuringen;Limburg
3570;Alken;Limburg
3920;Lommel;Limburg
8450;Bredene;West-Vlaanderen
8501;Heule;West-Vlaanderen
8510;Bellegem;West-Vlaanderen
8551;Heestert;West-Vlaanderen
8793;Sint-Eloois-Vijve;West-Vlaanderen
8860;Lendelede;West-Vlaanderen
8950;Nieuwkerke;West-Vlaanderen
8953;Wijtschate;West-Vlaanderen
6750;Musson;Luxembourg
6762;Saint-Mard;Luxembourg
1652;Alsemberg;Vlaams-Brabant
1701;Dilbeek;Vlaams-Brabant
1620;Drogenbos;Vlaams-Brabant
5060;Auvelais;Namur
5374;Maffe;Namur
5350;Haillot;Namur
5330;Maillen;Namur
5020;Flawinne;Namur
3520;Zonhoven;Limburg
3721;Vliermaalroot;Limburg
6780;Hondelange;Luxembourg
6791;Athus;Luxembourg
6960;Grandmenil;Luxembourg
8470;Gistel;West-Vlaanderen
8580;Avelgem;West-Vlaanderen
1761;Borchtlombeek;Vlaams-Brabant
9052;Zwijnaarde;Oost-Vlaanderen
9910;Ursel;Oost-Vlaanderen
4162;Hody;Liège
4683;Vivegnis;Liège
4254;Ligney;Liège
4650;Chaineux;Liège
4820;Dison;Liège
4654;Charneux;Liège
4430;Ans;Liège
6440;Froid-Chapelle;Henegouwen
7911;Frasnes-lez-Buissenal;Henegouwen
7024;Ciply;Henegouwen
7012;Jemappes;Henegouwen
7810;Maffle;Henegouwen
1044;Schaarbeek;Brussel
1380;;Brabant wallon (le)
2099;Antwerpen;Antwerpen
2220;Heist-op-den-Berg;Antwerpen
2250;Olen;Antwerpen
2050;Antwerpen;Antwerpen
2288;Bouwel;Antwerpen
5589;Jemelle;Namur
5620;Rosée;Namur
5575;Rienne;Namur
5650;Walcourt;Namur
5334;Florée;Namur
3545;Halen;Limburg
8540;Deerlijk;West-Vlaanderen
8587;Helkijn;West-Vlaanderen
8906;Elverdinge;West-Vlaanderen
6663;Mabompré;Luxembourg
6724;Houdemont;Luxembourg
1935;Zaventem;Vlaams-Brabant
3090;Overijse;Vlaams-Brabant
1851;Humbeek;Vlaams-Brabant
3001;Heverlee;Vlaams-Brabant
9050;Gentbrugge;Oost-Vlaanderen
9930;Zomergem;Oost-Vlaanderen
9890;Dikkelvenne;Oost-Vlaanderen
4530;Warnant-Dreye;Liège
4252;Omal;Liège
4783;Lommersweiler;Liège
4041;Milmort;Liège
4771;Heppenbach;Liège
7033;Cuesmes;Henegouwen
6593;Macquenoise;Henegouwen
6141;Forchies-la-Marche;Henegouwen
7973;Stambruges;Henegouwen
6596;Forge-Philippe;Henegouwen
7940;Brugelette;Henegouwen
7781;Houthem;Henegouwen
6441;Erpion;Henegouwen
7890;Wodecq;Henegouwen
6238;Liberchies;Henegouwen
7063;Neufvilles;Henegouwen
6224;Wanfercée-Baulet;Henegouwen
7030;Saint-Symphorien;Henegouwen
1180;Ukkel;Brussel
1421;Ophain-Bois-Seigneur-Isaac;Brabant wallon (le)
2230;Herselt;Antwerpen
2100;Deurne;Antwerpen
5362;Achet;Namur
3631;Uikhoven;Limburg
3971;Heppen;Limburg
8500;Kortrijk;West-Vlaanderen
8710;Wielsbeke;West-Vlaanderen
6743;Buzenol;Luxembourg
6790;Aubange;Luxembourg
6811;Suxy;Luxembourg
6856;Fays-les-Veneurs;Luxembourg
6887;Saint-Médard;Luxembourg
6972;Erneuville;Luxembourg
3221;Nieuwrode;Vlaams-Brabant
3000;Leuven;Vlaams-Brabant
1980;Zemst;Vlaams-Brabant
3220;Kortrijk-Dutsel;Vlaams-Brabant
1861;Wolvertem;Vlaams-Brabant
1760;Pamel;Vlaams-Brabant
1670;Pepingen;Vlaams-Brabant
1755;Leerbeek;Vlaams-Brabant
3460;Bekkevoort;Vlaams-Brabant
7022;Harmignies;Henegouwen
7533;Thimougies;Henegouwen
7090;Braine-le-Comte;Henegouwen
7032;Spiennes;Henegouwen
1082;Berchem-Sainte-Agathe;Brussel
1400;Nivelles;Brabant wallon (le)
2812;Muizen;Antwerpen
2910;Essen;Antwerpen
2990;Wuustwezel;Antwerpen
9320;Erembodegem;Oost-Vlaanderen
9090;Melle;Oost-Vlaanderen
9230;Wetteren;Oost-Vlaanderen
9880;Aalter;Oost-Vlaanderen
9970;Kaprijke;Oost-Vlaanderen
9420;Mere;Oost-Vlaanderen
9260;Schellebelle;Oost-Vlaanderen
4721;Kelmis;Liège
4350;Lamine;Liège
4100;Seraing;Liège
4852;Hombourg;Liège
4218;Couthuin;Liège
7511;Orcq;Henegouwen
7800;Ath;Henegouwen
9500;Ophasselt;Oost-Vlaanderen
4607;Bombaye;Liège
4730;Hauset;Liège
4050;Chaudfontaine;Liège
4601;Argenteau;Liège
4784;Crombach;Liège
4920;Aywaille;Liège
4042;Liers;Liège
7320;Bernissart;Henegouwen
7830;Silly;Henegouwen
7641;Bruyelle;Henegouwen
1040;Brussel;Brussel
1342;Limelette;Brabant wallon (le)
1472;Vieux-Genappe;Brabant wallon (le)
2200;Herentals;Antwerpen
2900;Schoten;Antwerpen
2240;Zandhoven;Antwerpen
2940;Stabroek;Antwerpen
5500;Anseremme;Namur
5022;Cognelée;Namur
5541;Hastière-par-delà;Namur
5542;Blaimont;Namur
5520;Onhaye;Namur
3550;Zolder;Limburg
3793;Teuven;Limburg
3803;Duras;Limburg
3830;Wellen;Limburg
3831;Herten;Limburg
8370;Uitkerke;West-Vlaanderen
8430;Wilskerke;West-Vlaanderen
8680;Koekelare;West-Vlaanderen
8740;Pittem;West-Vlaanderen
8900;Dikkebus;West-Vlaanderen
6662;Tavigny;Luxembourg
6672;Beho;Luxembourg
6970;Tenneville;Luxembourg
1831;Diegem;Vlaams-Brabant
3320;Hoegaarden;Vlaams-Brabant
6860;Léglise;Luxembourg
5012;Namur;Namur
5502;Thynes;Namur
5572;Focant;Namur
5580;Éprave;Namur
3560;Lummen;Limburg
3690;Zutendaal;Limburg
6723;Habay-la-Vieille;Luxembourg
6820;Florenville;Luxembourg
6940;Grandhan;Luxembourg
1880;Kapelle-op-den-Bos;Vlaams-Brabant
1790;Hekelgem;Vlaams-Brabant
3293;Kaggevinne;Vlaams-Brabant
1785;Merchtem;Vlaams-Brabant
9406;Outer;Oost-Vlaanderen
9971;Lembeke;Oost-Vlaanderen
9403;Neigem;Oost-Vlaanderen
9940;Evergem;Oost-Vlaanderen
9982;Sint-Jan-in-Eremo;Oost-Vlaanderen
9572;Sint-Martens-Lierde;Oost-Vlaanderen
9280;Lebbeke;Oost-Vlaanderen
4610;Queue-du-Bois;Liège
4851;Gemmenich;Liège
4680;Hermée;Liège
4790;;Liège
4800;Heusy;Liège
4870;Olne;Liège
4800;Verviers;Liège
4701;;Liège
4032;Chênée;Liège
6533;Biercée;Henegouwen
7120;Estinnes-au-Mont;Henegouwen
7534;Maulde;Henegouwen
7543;Mourcourt;Henegouwen
7943;Gages;Henegouwen
6540;Lobbes;Henegouwen
7536;Vaulx;Henegouwen
7901;Thieulain;Henegouwen
7903;Chapelle-à-Oie;Henegouwen
7141;Carnières;Henegouwen
1011;Brussel;Brussel
1030;Schaarbeek;Brussel
1450;Saint-Géry;Brabant wallon (le)
1461;Haut-Ittre;Brabant wallon (le)
2840;Reet;Antwerpen
4672;Saint-Remy;Liège
4451;Voroux-lez-Liers;Liège
4621;Retinne;Liège
7823;Gibecq;Henegouwen
7191;Écaussinnes-d'Enghien;Henegouwen
6462;Vaulx;Henegouwen
7623;Rongy;Henegouwen
6075;Fleurus;Henegouwen
6020;Dampremy;Henegouwen
7601;Roucourt;Henegouwen
7061;Thieusies;Henegouwen
1020;Brussel;Brussel
1090;Jette;Brussel
1301;Bierges;Brabant wallon (le)
1330;Rixensart;Brabant wallon (le)
2610;Wilrijk;Antwerpen
9570;Sint-Maria-Lierde;Oost-Vlaanderen
9830;Sint-Martens-Latem;Oost-Vlaanderen
9300;Aalst;Oost-Vlaanderen
9340;Impe;Oost-Vlaanderen
9600;Ronse;Oost-Vlaanderen
9981;Sint-Margriete;Oost-Vlaanderen
9850;Nevele;Oost-Vlaanderen
9500;Overboelare;Oost-Vlaanderen
9170;Sint-Gillis-Waas;Oost-Vlaanderen
4624;Romsée;Liège
4577;Vierset-Barse;Liège
4260;Ville-en-Hesbaye;Liège
4821;Andrimont;Liège
4500;Ben-Ahin;Liège
4782;Schönberg;Liège
4671;Saive;Liège
4000;Liège;Liège
4260;Fallais;Liège
5024;Marche-les-Dames;Namur
5170;Bois-de-Villers;Namur
5590;Leignon;Namur
3724;Vliermaal;Limburg
3746;Waltwilder;Limburg
8301;Ramskapelle;West-Vlaanderen
8310;Sint-Kruis;West-Vlaanderen
8421;Vlissegem;West-Vlaanderen
8647;Pollinkhove;West-Vlaanderen
8660;Adinkerke;West-Vlaanderen
8800;Roeselare;West-Vlaanderen
8820;Torhout;West-Vlaanderen
8957;Mesen;West-Vlaanderen
6686;Flamierge;Luxembourg
6698;Grand-Halleux;Luxembourg
6742;Chantemelle;Luxembourg
6836;Dohan;Luxembourg
6850;Paliseul;Luxembourg
6921;Chanly;Luxembourg
1931;Diegem;Vlaams-Brabant
3130;Betekom;Vlaams-Brabant
3012;Wilsele;Vlaams-Brabant
3271;Zichem;Vlaams-Brabant
4180;Hamoir;Liège
4682;Heure-le-Romain;Liège
4317;Celles;Liège
4340;Villers-l'Évêque;Liège
4460;Velroux;Liège
4720;Kelmis;Liège
7031;Villers-Saint-Ghislain;Henegouwen
7322;Ville-Pommeroeul;Henegouwen
6043;Ransart;Henegouwen
7621;Lesdain;Henegouwen
6222;Brye;Henegouwen
7866;Ollignies;Henegouwen
7950;Chièvres;Henegouwen
1047;Elsene;Brussel
1099;Brussel;Brussel
1040;Etterbeek;Brussel
2380;Ravels;Antwerpen
2020;Antwerpen;Antwerpen
2018;Antwerpen;Antwerpen
5360;Natoye;Namur
5646;Stave;Namur
5503;Sorinnes;Namur
5563;Hour;Namur
5002;Saint-Servais;Namur
3832;Ulbeek;Limburg
8600;Beerst;West-Vlaanderen
8920;Langemark;West-Vlaanderen
6720;Habay-la-Neuve;Luxembourg
6823;Villers-devant-Orval;Luxembourg
6927;Tellin;Luxembourg
1500;Halle;Vlaams-Brabant
3454;Rummen;Vlaams-Brabant
1850;Grimbergen;Vlaams-Brabant
1970;Wezembeek-Oppem;Vlaams-Brabant
9075;Wondelgem;Oost-Vlaanderen
9870;Olsene;Oost-Vlaanderen
9040;Sint-Amandsberg;Oost-Vlaanderen
9961;Boekhoute;Oost-Vlaanderen
9060;Zelzate;Oost-Vlaanderen
9990;Maldegem;Oost-Vlaanderen
5330;Assesse;Namur
5562;Custinne;Namur
3870;Heers;Limburg
8211;Aartrijke;West-Vlaanderen
8890;Moorslede;West-Vlaanderen
6984;Hives;Luxembourg
3078;Everberg;Vlaams-Brabant
3384;Attenrode;Vlaams-Brabant
3191;Hever;Vlaams-Brabant
5680;Romerée;Namur
1080;Sint-Jans-Molenbeek;Brussel
2600;Berchem;Antwerpen
2340;Beerse;Antwerpen
2861;Onze-Lieve-Vrouw-Waver;Antwerpen
2440;Geel;Antwerpen
2070;Zwijndrecht;Antwerpen
2880;Bornem;Antwerpen
2221;Booischot;Antwerpen
1009;Brussel;Brussel
1048;Brussel;Brussel
3190;Boortmeerbeek;Vlaams-Brabant
9800;Deinze;Oost-Vlaanderen
4780;Recht;Liège
4630;Soumagne;Liège
4760;Manderfeld;Liège
4171;Poulseur;Liège
4360;Lens-sur-Geer;Liège
7880;Flobecq;Henegouwen
7538;Vezon;Henegouwen
6530;Leers-et-Fosteau;Henegouwen
6280;Acoz;Henegouwen
6592;Monceau-Imbrechies;Henegouwen
